domicilio_id;numero_residentes;banheiros;quartos;veiculos;bicicletas;motos;tipo_imovel;renda;condicao_moradia;agua_encanada;rua_pavimentada;vaga_propria_estacionamento;ano_veiculo_mais_recente;empregados_domesticos;tv_cabo;recebe_bolsa_familia;fexp_domicilio;macrozona;regiao_administrativa
3;2;2;2;1;0;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;1995 a 1999;Não Possui;Possui;Não;36,9016;315;Taguatinga
4;4;1;3;3;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;33,78;315;Taguatinga
7;3;2;3;1;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;Não Sabe;Não Possui;Possui;Não;37,1846;315;Taguatinga
22;3;4;4;2;0;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Possui;Não;37,2258;315;Taguatinga
35;3;2;3;1;1;0;Apartamento;De R$ 8.800,00 a R$ 13.200,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;68,3503;222;Guará
37;1;2;2;0;0;0;Apartamento;De R$ 440,00 a R$ 880,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Não Possui;Não;59,5675;222;Guará
43;4;1;3;1;0;0;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Não Possui;Não;55,6016;352;Samambaia
44;3;2;2;2;1;0;Casa de Alvenaria;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Possui;Não;54,3644;352;Samambaia
45;2;1;2;0;0;0;Casa de Alvenaria;De R$ 440,00 a R$ 880,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;53,8082;352;Samambaia
47;3;2;2;1;0;1;Casa de Alvenaria;De R$ 880,00 a R$ 1.760,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2000 a 2004;Não Possui;Não Possui;Não;54,3644;352;Samambaia
48;5;2;4;3;1;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Não Possui;Não;61,7667;352;Samambaia
49;3;2;2;1;1;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;54,3644;352;Samambaia
50;3;2;2;2;2;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Possui;Não;54,3644;352;Samambaia
72;2;2;2;2;0;0;Casa de Alvenaria;De R$ 8.800,00 a R$ 13.200,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;42,0949;353;Samambaia
73;1;1;2;1;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Cedida;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;39,4843;353;Samambaia
74;3;2;3;1;3;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2014 ou Mais Recente;Não Possui;Possui;Não;41,3587;353;Samambaia
75;2;1;2;0;0;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Não Possui;Não;42,0949;353;Samambaia
76;3;2;3;0;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;NA;Não Possui;Possui;Não;41,3587;353;Samambaia
77;3;1;3;2;0;0;Casa de Alvenaria;De R$ 2.640,00 a R$ 4.400,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Não Possui;Não;41,3587;353;Samambaia
102;3;1;2;1;2;0;Apartamento;De R$ 8.800,00 a R$ 13.200,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2010 a 2013;Não Possui;Possui;Não;37,2258;315;Taguatinga
103;4;1;2;0;1;0;Apartamento;De R$ 880,00 a R$ 1.760,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Não Possui;Sim;45,4922;315;Taguatinga
104;5;1;2;0;1;0;Casa de Alvenaria;De R$ 1.760,00 a R$ 2.640,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Respondeu;NA;Não Possui;Não Possui;Não;49,4994;315;Taguatinga
106;3;1;3;2;0;0;Apartamento;De R$ 2.640,00 a R$ 4.400,00;Alugada;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Possui;2005 a 2009;Não Possui;Possui;Não;37,2258;315;Taguatinga
107;2;1;2;0;1;0;Apartamento;De R$ 4.400,00 a R$ 8.800,00;Própria;Sim, em pelo menos um cômodo;Asfaltada, pavimentada;Não Possui;NA;Não Possui;Possui;Não;35,2208;315;Taguatinga
